NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,99,50ms,100,1,13,66,38.7,3870,10.72,3044,1.51E+04,8363,8.36E+05,2347,39,93,57.96,5796,11.86,8227,1.94E+04,1.23E+04,1.23E+06,2264,0,0.009297,0.002052,0.2052,0.003159,0.1237,0.2949,0.2023,20.23,0.03777,0.1582,0.375,0.2717,27.17,0.05144,6,29,18.87,1887,4.644,3.944,9.048,5.511,551.1,0.9795,0.3333,14.74,3.32,332,3.017,0,39,9.73,973,9.814,2,19,9.86,986,3.393,4,12,8.37,837,1.555
10,0,0,150,udp,10ms,1,handel,297,50ms,300,1,20,109,62.82,1.87E+04,18.06,4609,2.48E+04,1.37E+04,4.08E+06,3951,39,152,85.91,2.56E+04,17.91,9204,3.18E+04,1.88E+04,5.61E+06,3877,0,0.03911,0.005565,1.658,0.005615,0.1491,0.4037,0.249,74.21,0.04907,0.2166,0.4818,0.3219,95.92,0.06106,9,40,22.88,6817,5.313,4.095,10.54,6.033,1798,1.369,0.4167,35.15,4.666,1390,5.131,0,103,17.01,5068,19.2,4,27,12.34,3678,4.213,5,15,9.886,2946,1.559
10,0,0,250,udp,10ms,2,handel,495,50ms,500,1,61,125,95.77,4.76E+04,9.334,1.41E+04,2.94E+04,2.05E+04,1.02E+07,2573,57,164,113.2,5.62E+04,17.81,1.14E+04,3.53E+04,2.42E+04,1.20E+07,4046,0,0.03402,0.005909,2.937,0.007699,0.204,0.4993,0.3184,158.3,0.05643,0.3479,0.6021,0.4498,223.6,0.03365,15,46,27.52,1.37E+04,6.114,4.111,10.59,6.188,3075,1.454,0.3333,36.42,4.206,2091,4.72,0,108,23.28,1.16E+04,19.2,5,30,15.25,7581,4.959,7,17,11.57,5750,1.781
10,0,0,500,udp,10ms,3,handel,990,50ms,1000,1,86,158,119.4,1.14E+05,11.26,1.85E+04,3.71E+04,2.66E+04,2.54E+07,3098,77,205,135.9,1.30E+05,21.78,1.60E+04,4.67E+04,3.06E+04,2.93E+07,5268,0,0.0403,0.005981,5.7,0.008326,0.288,0.5987,0.448,423.8,0.06074,0.4543,0.7317,0.5617,533.6,0.04962,20,57,38.69,3.67E+04,6.622,4.267,11.26,7.375,6970,1.543,0.3333,31.72,6.447,6131,4.923,5,130,38.67,3.67E+04,21.45,7,42,22.92,2.17E+04,5.289,10,24,14.68,1.40E+04,2.47
10,0,0,750,udp,10ms,4,handel,1485,50ms,1500,1,85,197,138.9,1.88E+05,17.79,1.90E+04,4.43E+04,3.14E+04,4.27E+07,4151,85,262,157.4,2.16E+05,27.45,1.84E+04,5.94E+04,3.62E+04,4.88E+07,6662,0,0.04607,0.005532,7.235,0.008818,0.2646,0.7932,0.4952,647.3,0.07396,0.4533,0.8523,0.6114,807.1,0.06235,18,68,41.9,5.40E+04,7.487,4.167,12.2,7.774,9935,1.526,0.5,35.48,6.753,8772,4.946,2,170,41.99,5.39E+04,23.91,6,49,24.24,3.22E+04,5.853,10,25,16.63,2.23E+04,2.834
10,0,0,1000,udp,10ms,5,handel,1980,50ms,2000,1,102,205,145.2,2.31E+05,15.9,2.14E+04,4.78E+04,3.40E+04,5.29E+07,4209,79,237,164.7,2.66E+05,26.82,1.64E+04,5.79E+04,3.92E+04,6.16E+07,7065,0,0.04123,0.005709,8.399,0.008615,0.3767,0.7917,0.5438,790.6,0.06102,0.5056,0.8804,0.6484,975.1,0.06092,24,68,45.2,6.54E+04,6.489,4.486,12.55,8.703,1.23E+04,1.37,1.312,29.49,8.329,1.18E+04,4.338,7,148,52.38,7.44E+04,22.43,11,47,26.01,3.90E+04,5.005,11,29,18.21,2.77E+04,3.205
10,0,0,1250,udp,10ms,6,handel,2475,50ms,2500,1,52,267,164.1,3.22E+05,24.55,1.40E+04,7.06E+04,4.07E+04,7.85E+07,8008,27,331,182.5,3.65E+05,30.83,5568,8.77E+04,4.56E+04,8.84E+07,8627,0,0.0543,0.006437,11.9,0.01088,0.3131,1.173,0.6209,1149,0.08979,0.3142,1.321,0.7215,1358,0.09023,24,106,49.71,9.02E+04,8.594,4.895,13.5,9.293,1.70E+04,1.387,1.707,232.4,12.99,2.37E+04,11.69,5,257,67.21,1.23E+05,24.52,11,80,27.65,5.24E+04,6.842,8,32,21.07,4.01E+04,3.549
10,0,0,1500,udp,10ms,7,handel,2970,50ms,3000,1,112,281,184.9,3.82E+05,22.44,2.72E+04,6.64E+04,4.62E+04,9.14E+07,6302,115,345,202.3,4.20E+05,31.83,2.59E+04,9.09E+04,5.10E+04,1.01E+08,8755,0,0.08219,0.006593,12.23,0.01207,0.4502,1.283,0.7078,1301,0.1032,0.5852,1.373,0.811,1544,0.1008,29,102,55.11,9.83E+04,8.916,5.469,14.68,10.08,1.77E+04,1.398,1.575,54.17,14.85,2.65E+04,8.076,6,202,74.53,1.31E+05,25.05,13,73,30.81,5.85E+04,7.379,13,35,23.16,4.45E+04,3.437
10,0,0,2000,udp,10ms,8,handel,3960,50ms,4000,1,139,305,202.7,5.07E+05,19.07,3.65E+04,8.08E+04,5.29E+04,1.29E+08,5410,138,316,220.1,5.63E+05,27.29,3.56E+04,8.22E+04,5.76E+04,1.42E+08,7140,0,0.06709,0.007,15.95,0.01312,0.5316,1.166,0.8354,1881,0.09606,0.6396,1.449,0.9316,2137,0.09527,36,94,61.83,1.37E+05,7.721,6.857,33.85,11.22,2.48E+04,1.46,6.283,74.71,25.01,5.60E+04,8.324,37,214,96.06,2.12E+05,23.77,14,60,33.1,7.71E+04,6.728,17,40,27.73,6.52E+04,3.452
