NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev
10,0,0,50,udp,10ms,0,p2p/udp,51,50ms,100,1,33,100,59.11,5911,13.38,5521,1.67E+04,9889,9.89E+05,2239,100,100,100,1.00E+04,0,1.65E+04,1.68E+04,1.67E+04,1.67E+06,53.6,0,0.02326,0.008637,0.8637,0.004363,0.004273,0.05741,0.02523,2.523,0.01101,0.02887,0.1278,0.09661,9.661,0.02312
10,0,0,150,udp,10ms,1,p2p/udp,153,50ms,300,1,120,297,171.3,4.11E+04,34.32,2.02E+04,5.00E+04,2.88E+04,6.92E+06,5780,300,300,300,7.20E+04,0,4.78E+04,5.07E+04,5.05E+04,1.21E+07,283.6,0.005255,0.04458,0.02337,5.609,0.007514,0.02236,0.0918,0.05075,12.18,0.01661,0.05182,0.1589,0.1108,26.59,0.02031
10,0,0,250,udp,10ms,2,p2p/udp,255,50ms,500,1,0,493,282.1,8.80E+04,50.21,0,8.31E+04,4.76E+04,1.48E+07,8468,500,1000,504.8,1.58E+05,48.87,3.04E+04,1.69E+05,8.49E+04,2.65E+07,9014,0.00774,0.06424,0.03099,9.67,0.01101,0.02362,0.1552,0.0766,23.9,0.02361,0.03891,0.5775,0.1321,41.23,0.05017
10,0,0,500,udp,10ms,3,p2p/udp,510,50ms,1000,1,0,845,560.6,2.83E+05,84.02,0,1.43E+05,9.47E+04,4.77E+07,1.43E+04,1000,2000,1048,5.28E+05,213.2,3.82E+04,3.38E+05,1.75E+05,8.84E+07,3.63E+04,0.01035,0.1345,0.05607,28.26,0.01629,0.0165,0.2737,0.1408,70.98,0.03713,0.03475,0.8975,0.2164,109.1,0.1038
10,0,0,750,udp,10ms,4,p2p/udp,765,50ms,1500,1,0,1604,809.2,4.13E+05,100.1,0,2.71E+05,1.37E+05,6.97E+07,1.69E+04,1500,4500,1718,8.76E+05,537.1,4.16E+04,7.61E+05,2.84E+05,1.45E+08,8.48E+04,0.02287,0.221,0.08072,41.17,0.0298,0.03248,0.4444,0.2,102,0.05421,0.05583,1.39,0.3196,163,0.1522
10,0,0,1000,udp,10ms,5,p2p/udp,1020,50ms,2000,1,0,2274,1074,5.50E+05,132.5,0,3.84E+05,1.82E+05,9.29E+07,2.24E+04,2000,8000,2422,1.24E+06,890.1,1.08E+05,1.35E+06,4.01E+05,2.05E+08,1.40E+05,0.0287,0.3812,0.1128,57.75,0.04274,0.0458,0.7932,0.2683,137.4,0.07699,0.07508,1.853,0.4222,216.1,0.1794
10,0,0,1250,udp,10ms,6,p2p/udp,1275,50ms,2500,1,111,1830,1350,6.80E+05,200.4,1.88E+04,3.09E+05,2.28E+05,1.15E+08,3.39E+04,2500,5000,3244,1.64E+06,1144,7.64E+04,8.45E+05,5.27E+05,2.66E+08,1.81E+05,0.02512,0.3116,0.1454,73.28,0.05258,0.05483,0.5666,0.3399,171.3,0.09598,0.09165,0.932,0.5115,257.8,0.1658
10,0,0,1500,udp,10ms,7,p2p/udp,1530,50ms,3000,1,0,2547,1651,8.52E+05,247.1,0,4.30E+05,2.79E+05,1.44E+08,4.26E+04,3000,6000,4506,2.33E+06,1501,3.96E+04,1.01E+06,6.54E+05,3.38E+08,1.94E+05,0.03079,0.3593,0.1755,90.58,0.05818,0.04968,0.7129,0.4173,215.3,0.1056,0.08087,0.9814,0.6048,312.1,0.1594
10,0,0,2000,udp,10ms,8,p2p/udp,2040,50ms,4000,1,0,3288,2385,2.54E+06,315.7,0,5.56E+05,4.03E+05,4.28E+08,5.34E+04,4000,1.20E+04,8938,9.49E+06,1975,4.39E+04,2.03E+06,1.23E+06,1.31E+09,2.66E+05,0.02354,0.5643,0.3177,338.1,0.08458,0.05251,1.047,0.6715,714.5,0.1398,0.07643,1.54,0.9997,1063,0.2102
