NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,40,2000,udp,50ms,2,handel,2000,50ms,4000,1,7,150,109.8,2.57E+05,12.88,2164,3.88E+04,2.55E+04,5.98E+07,3629,1,196,128.6,3.12E+05,14.87,236,4.72E+04,3.19E+04,7.48E+07,4922,0,0.04973,0.008896,19.49,0.00723,0.1097,0.6833,0.4449,959.6,0.08816,0.1098,0.8089,0.6173,1358,0.06213,8,84,36.97,7.82E+04,8.536,4.406,14.06,7.57,1.59E+04,1.552,0.2778,171.6,6.558,1.40E+04,8.115,1,154,48.73,1.03E+05,24.83,4,57,22.36,4.96E+04,7.463,3,21,12.9,2.92E+04,1.836
10,0,1000,2000,udp,50ms,2,handel,2000,50ms,4000,1,15,143,92.27,1.12E+05,26.38,4133,3.57E+04,2.24E+04,2.58E+07,5829,1,216,132.9,1.64E+05,15.45,236,5.24E+04,3.47E+04,4.22E+07,5055,0,0.04643,0.008948,8.93,0.00739,0.1465,0.752,0.4727,461.9,0.08915,0.1503,0.9486,0.6526,672.9,0.06414,10,102,52.4,5.00E+04,17.02,4.25,13.48,6.937,6798,1.716,0.3115,214.6,6.008,5761,14.46,6,197,47.68,4.41E+04,19.77,5,81,35.98,3.86E+04,16.08,4,21,14.91,1.59E+04,1.889
10,0,1960,2000,udp,50ms,2,handel,2000,50ms,4000,1,25,139,70.65,1.19E+05,11.37,7772,3.54E+04,1.94E+04,3.23E+07,3168,7,214,148.4,2.52E+05,14.96,1652,5.98E+04,4.14E+04,6.97E+07,4390,0,0.0524,0.007951,12.97,0.007866,0.1668,0.8669,0.5011,820.2,0.07267,0.1717,1.036,0.7511,1239,0.0861,27,128,85.24,1.39E+05,13.23,4.318,11.14,5.32,8586,0.819,0.254,79.26,2.41,3894,4.104,26,100,49.49,8.02E+04,9.435,14,107,65.07,1.08E+05,12.08,11,29,18.64,3.11E+04,2.771
