NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,20,1000,udp,10ms,0,handel,1010,50ms,2000,1,5,173,124.3,1.22E+05,16.8,1562,4.06E+04,2.87E+04,2.74E+07,4230,1,212,150.6,1.52E+05,23.71,236,5.02E+04,3.59E+04,3.51E+07,6165,0,0.06013,0.005778,5.166,0.009047,0.06965,0.6234,0.4835,433.7,0.05453,0.06981,0.7187,0.59,543.4,0.04682,4,78,41.82,3.68E+04,6.928,4.4,11.4,7.959,6884,1.417,0.52,212.5,7.63,6738,9.81,4,121,44.14,3.83E+04,20.81,1,63,24.38,2.24E+04,5.907,2,27,16.51,1.52E+04,2.74
10,0,250,1000,udp,10ms,1,handel,1010,50ms,2000,1,48,163,111.8,1.59E+05,22.72,1.19E+04,3.86E+04,2.62E+04,3.71E+07,5268,7,218,151.7,2.19E+05,23.69,1652,5.50E+04,3.67E+04,5.19E+07,6142,0,0.07871,0.005309,7.066,0.008671,0.1753,0.6574,0.486,645.9,0.06541,0.1754,0.7618,0.5973,813.5,0.04614,23,85,47.33,6.19E+04,10.08,4.382,12.1,7.993,1.05E+04,1.686,0.7,115.9,9.233,1.23E+04,7.225,10,182,46.7,6.10E+04,17.28,11,64,27.92,3.86E+04,9.929,9,27,18.35,2.54E+04,2.67
10,0,500,1000,udp,10ms,0,handel,1010,50ms,2000,1,42,156,101.4,1.08E+05,26.48,1.05E+04,3.68E+04,2.35E+04,2.47E+07,5623,86,237,153.2,1.68E+05,23.29,1.93E+04,6.08E+04,3.74E+04,3.92E+07,6436,0,0.08001,0.004882,4.75,0.008845,0.2354,0.6462,0.452,432.5,0.06467,0.4804,0.7615,0.5921,595.7,0.0387,23,105,51.6,4.88E+04,14.74,4.182,11.78,6.914,6486,1.748,0.6286,30.64,6.422,6204,4.606,8,123,42.97,4.04E+04,13.68,10,79,33.36,3.31E+04,13.98,9,29,17.09,1.70E+04,2.907
10,0,750,1000,udp,10ms,3,handel,1010,50ms,2000,1,25,153,95.47,1.16E+05,24.73,6718,3.69E+04,2.27E+04,2.73E+07,5443,3,289,152.7,1.87E+05,26.84,708,7.69E+04,3.78E+04,4.60E+07,7265,0,0.07036,0.004733,5.595,0.008227,0.1113,0.7677,0.4663,544.7,0.07921,0.1114,0.8924,0.6104,722.2,0.04872,19,92,51.24,5.91E+04,13.62,4.219,20.85,7.498,8623,2.212,0.4909,83.21,10.91,1.25E+04,8.487,9,123,43.49,4.98E+04,14.21,7,76,30.47,3.64E+04,12.42,8,31,19.62,2.37E+04,3.268
10,0,990,1000,udp,10ms,4,handel,1010,50ms,2000,1,34,554,124,1.24E+05,89.79,9454,1.65E+05,3.24E+04,3.24E+07,2.79E+04,15,9448,620.1,6.23E+05,1575,3540,2.81E+06,1.82E+05,1.82E+08,4.82E+05,0,0.8216,0.01821,18,0.06368,0.1974,3.896,0.7649,760.3,0.5406,0.1977,45.43,3.625,3596,9.852,28,433,97.27,9.62E+04,61.31,4.315,22.29,7.661,7584,2.973,0.3415,123.6,22.03,2.18E+04,18,16,392,87.8,8.67E+04,73.99,13,203,61.8,6.14E+04,42.4,14,116,32.83,3.27E+04,16.23
