NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,50,udp,10ms,0,handel,75,50ms,100,1,19,73,39.57,2968,10.27,4446,1.36E+04,8846,6.64E+05,1867,45,116,63.11,4733,11.89,8900,2.71E+04,1.43E+04,1.07E+06,2856,0,0.02139,0.004293,0.322,0.005373,0.105,0.3968,0.2635,19.76,0.08657,0.3171,0.5485,0.4263,31.97,0.0594,18,48,30.17,2263,6.068,4.083,7.667,5.496,412.2,1.078,0.3889,11.17,3.073,230.4,2.379,3,58,15.45,1159,10.65,10,36,19.35,1451,5.221,7,13,9.987,749,1.52
10,0,75,150,udp,10ms,1,handel,223,50ms,300,1,17,96,59.87,1.22E+04,14.7,3951,2.18E+04,1.33E+04,2.72E+06,3140,57,172,97.39,1.99E+04,20.32,1.32E+04,3.71E+04,2.20E+04,4.50E+06,4472,0,0.02526,0.004829,0.9851,0.005801,0.1341,0.4776,0.3067,62.57,0.07218,0.3627,0.6148,0.4844,98.82,0.05557,14,74,35.64,7270,11.57,4.2,8.583,5.457,1113,0.8957,0.3462,10.45,2.691,549,1.73,5,56,25.49,5199,10.59,7,59,24.01,4898,10.9,7,17,10.83,2209,2.006
10,0,125,250,udp,10ms,2,handel,372,50ms,500,1,31,122,81.29,2.47E+04,23.45,7293,2.68E+04,1.78E+04,5.41E+06,4511,73,169,125.5,3.82E+04,16.63,1.66E+04,3.74E+04,2.82E+04,8.58E+06,3398,0,0.03099,0.006194,1.883,0.007143,0.154,0.4493,0.3238,98.43,0.04608,0.422,0.6312,0.5095,154.9,0.03698,20,76,40.18,1.22E+04,13.12,4.174,8.862,5.455,1658,1.029,0.2821,13.61,2.82,857.4,2.292,2,75,30.38,9237,11.93,10,63,28.23,8581,13.99,7,16,11.17,3396,1.79
10,0,250,500,udp,10ms,3,handel,743,50ms,1000,1,36,164,103.5,6.26E+04,36.15,8542,3.68E+04,2.27E+04,1.37E+07,6848,62,202,151.3,9.19E+04,23.31,1.40E+04,4.47E+04,3.45E+04,2.09E+07,4634,0,0.03637,0.006237,3.767,0.007334,0.1632,0.5423,0.3882,234.1,0.06437,0.3325,0.6799,0.5585,337.3,0.04917,20,82,46.01,2.77E+04,14.1,4.177,11.29,5.793,3493,1.151,0.2941,76.42,3.677,2217,4.971,4,183,38.2,2.30E+04,16.62,9,71,32.92,1.99E+04,15.1,7,19,12.19,7362,2.107
10,0,375,750,udp,10ms,4,handel,1114,50ms,1500,1,56,176,113.3,1.12E+05,26.11,1.38E+04,4.43E+04,2.62E+04,2.57E+07,5431,97,248,162.5,1.60E+05,21.48,1.99E+04,6.22E+04,3.89E+04,3.83E+07,5970,0,0.03793,0.006353,6.258,0.007079,0.2621,0.6646,0.4776,470.9,0.06246,0.5024,0.7857,0.638,627.8,0.04937,23,102,55.07,5.42E+04,18.34,4.261,10.5,6.676,6576,1.515,0.4324,21.18,5.811,5724,3.3,10,136,55.73,5.50E+04,16.93,10,86,40.38,3.98E+04,18.26,9,21,13.69,1.35E+04,1.755
10,0,500,1000,udp,10ms,5,handel,1485,50ms,2000,1,68,228,146.2,1.67E+05,41.21,1.73E+04,5.76E+04,3.45E+04,3.92E+07,8249,72,285,199.2,2.27E+05,26.43,1.43E+04,7.19E+04,4.84E+04,5.51E+07,6622,0,0.0434,0.008232,9.368,0.008679,0.3378,0.9086,0.6326,719.3,0.08298,0.4445,0.9305,0.7655,870.4,0.07885,31,158,73.03,8.27E+04,26.94,4.336,12.59,7.192,8127,1.709,1.087,169.3,20.53,2.33E+04,34.71,21,242,68.87,7.78E+04,21.32,8,119,44.72,5.08E+04,23.17,11,39,18.42,2.09E+04,3.71
