NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev
10,0,0,50,udp,10ms,0,p2p/udp,75,50ms,100,1,56,100,77.52,7752,7.956,9373,1.67E+04,1.30E+04,1.30E+06,1331,100,100,100,1.00E+04,0,1.65E+04,1.68E+04,1.67E+04,1.67E+06,53.6,0,0.02473,0.01055,1.055,0.006184,0.001453,0.06045,0.02982,2.982,0.01422,0.03792,0.1869,0.127,12.7,0.03536
10,0,0,150,udp,10ms,1,p2p/udp,225,50ms,300,1,183,393,238.5,5.72E+04,28.01,3.08E+04,6.62E+04,4.01E+04,9.63E+06,4719,300,600,307.5,7.38E+04,46.94,5.01E+04,1.01E+05,5.18E+04,1.24E+07,7867,0.006707,0.06566,0.02532,6.076,0.008773,0.02649,0.1322,0.06047,14.51,0.01865,0.06344,0.5632,0.1581,37.94,0.07483
10,0,0,250,udp,10ms,2,p2p/udp,375,50ms,500,1,1,593,390.8,1.18E+05,49.15,0,1.00E+05,6.59E+04,1.99E+07,8345,500,1500,514.9,1.56E+05,94.41,5.27E+04,2.52E+05,8.68E+04,2.62E+07,1.60E+04,0.009396,0.0729,0.03333,10.07,0.01143,0.01763,0.196,0.09349,28.23,0.02519,0.05621,1.055,0.1788,53.99,0.08977
10,0,0,500,udp,10ms,3,p2p/udp,750,50ms,1000,1,243,1387,817.6,4.15E+05,127.2,4.10E+04,2.34E+05,1.38E+05,7.01E+07,2.15E+04,1000,3000,1303,6.62E+05,524.2,9.77E+04,5.07E+05,2.18E+05,1.11E+08,8.57E+04,0.01883,0.192,0.06913,35.12,0.02911,0.04579,0.4058,0.1879,95.43,0.05508,0.1071,1.244,0.3674,186.6,0.2396
10,0,0,750,udp,10ms,4,p2p/udp,1125,50ms,1500,1,167,1969,1318,6.64E+05,258.6,0,3.33E+05,2.23E+05,1.12E+08,4.39E+04,1500,6000,2402,1.21E+06,1183,3.33E+04,1.01E+06,4.01E+05,2.02E+08,1.96E+05,0.004179,0.3052,0.1146,57.74,0.05794,0.0653,0.5902,0.3039,153.2,0.1082,0.06973,1.665,0.576,290.3,0.3515
10,0,0,1000,udp,10ms,5,p2p/udp,1500,50ms,2000,1,0,2544,1805,9.46E+05,335.2,0,4.30E+05,3.05E+05,1.60E+08,5.98E+04,2000,6000,3336,1.75E+06,1355,3.23E+04,1.01E+06,5.53E+05,2.90E+08,2.25E+05,0.002717,0.3498,0.1597,83.7,0.0692,0.04384,0.7695,0.4141,217,0.1339,0.04824,1.309,0.6756,354,0.2785
10,0,0,1250,udp,10ms,6,p2p/udp,1875,50ms,2500,1,0,3531,2365,1.34E+06,495.9,0,5.96E+05,3.99E+05,2.26E+08,8.57E+04,2500,1.00E+04,5150,2.92E+06,1852,3.19E+04,1.69E+06,8.09E+05,4.58E+08,3.23E+05,0.003484,0.516,0.2273,128.6,0.09581,0.05468,1.09,0.5593,316,0.1905,0.05837,1.765,0.8591,486.3,0.322
10,0,0,1500,udp,10ms,7,p2p/udp,2250,50ms,3000,1,0,4260,2979,1.52E+06,637,0,7.20E+05,5.04E+05,2.57E+08,1.08E+05,3000,1.20E+04,7394,3.77E+06,1903,4.46E+04,2.03E+06,1.16E+06,5.90E+08,3.65E+05,0.02952,0.6172,0.3146,160.5,0.1057,0.0769,1.278,0.7346,374.7,0.2255,0.1069,1.871,1.078,549.8,0.3327
10,0,0,2000,udp,10ms,8,p2p/udp,3000,50ms,4000,1,0,5496,4669,4.71E+06,480.8,0,9.29E+05,7.89E+05,7.95E+08,8.12E+04,4000,2.00E+04,1.52E+04,1.53E+07,2424,9.70E+04,3.21E+06,2.24E+06,2.26E+09,3.46E+05,0.02265,0.9498,0.5754,579.4,0.1188,0.06684,1.755,1.238,1248,0.1877,0.08994,3.742,1.835,1850,0.2951
