NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev
10,0,0,50,udp,10ms,0,p2p/libp2p,51,50ms,100,1,0,0,0,0,0,1.07E+04,1.48E+04,1.24E+04,1.24E+06,1047,0,0,0,0,0,231,1.20E+05,1.30E+04,1.30E+06,2.06E+04,0,0.01287,0.002485,0.2485,0.003601,0.01055,0.06465,0.03495,3.495,0.01506,0.3015,0.6447,0.4865,48.65,0.07735
10,0,0,150,udp,10ms,1,p2p/libp2p,153,50ms,300,1,0,0,0,0,0,3.67E+04,6.80E+04,5.40E+04,1.53E+07,6991,0,0,0,0,0,462,4.91E+05,5.49E+04,1.55E+07,7.72E+04,0,0.1121,0.01015,2.874,0.0127,0.02576,0.2068,0.09345,26.45,0.04436,0.5233,1.584,0.9517,269.3,0.2979
10,0,0,250,udp,10ms,2,p2p/libp2p,255,50ms,500,1,0,0,0,0,0,6.48E+04,1.92E+05,1.10E+05,5.50E+07,2.86E+04,0,0,0,0,0,470,8.72E+05,1.12E+05,5.56E+07,1.31E+05,0,0.267,0.02736,13.62,0.03339,0.04589,0.5372,0.1845,91.9,0.1168,0.5464,2.893,1.384,689.4,0.6711
10,0,0,500,udp,10ms,3,p2p/libp2p,510,50ms,1000,1,0,0,0,0,0,8192,6.48E+05,3.69E+05,3.69E+08,1.05E+05,0,0,0,0,0,235,3.13E+06,3.72E+05,3.72E+08,4.52E+05,0,0.761,0.08707,87.07,0.08885,0.1323,1.684,0.5095,509.5,0.3116,0.2939,5.549,2.75,2750,1.232
10,0,0,750,udp,10ms,4,p2p/libp2p,765,50ms,1500,1,0,0,0,0,0,8192,1.17E+06,6.90E+05,8.22E+08,1.63E+05,0,0,0,0,0,236,6.81E+06,6.94E+05,8.26E+08,1.03E+06,0,0.9027,0.1284,152.8,0.1125,0.2492,2.252,0.7327,871.9,0.3818,0.2847,6.688,3.357,3995,1.235
10,0,0,1000,udp,10ms,5,p2p/libp2p,1020,50ms,2000,1,0,0,0,0,0,4.62E+05,2.55E+06,1.76E+06,2.49E+09,3.41E+05,0,0,0,0,0,705,1.80E+07,1.76E+06,2.49E+09,2.59E+06,0.00546,1.348,0.2984,423.1,0.1697,0.6356,3.752,1.732,2455,0.5143,1.232,9.049,5.484,7777,1.36
