NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,50,udp,10ms,0,handel,75,100ms,100,1,22,41,31.37,2353,4.251,3963,9597,6874,5.16E+05,1143,35,92,55.49,4162,12.56,6885,1.96E+04,1.25E+04,9.36E+05,3065,0,0.02069,0.003885,0.2913,0.004864,0.08828,0.3631,0.2027,15.21,0.05987,0.5808,0.7238,0.6314,47.35,0.02717,8,45,23.17,1738,8.507,4.083,7.278,4.765,357.4,0.5261,0.25,3.611,1.012,75.93,0.6376,3,28,13.92,1044,5.706,4,36,15.21,1141,7.899,4,10,7.613,571,1.479
10,0,75,150,udp,10ms,1,handel,223,100ms,300,1,31,89,58.12,1.22E+04,12.37,7322,2.07E+04,1.30E+04,2.71E+06,2735,67,117,95.5,2.00E+04,11.69,1.43E+04,2.72E+04,2.18E+04,4.56E+06,2736,0,0.02785,0.005988,1.251,0.005819,0.1269,0.3935,0.2733,57.11,0.05704,0.7081,0.8519,0.7631,159.5,0.03931,9,58,31.31,6543,12.02,4.045,7.656,5.177,1082,0.7431,0.2581,8.303,1.832,382.8,1.568,0,62,24.49,5119,13.48,4,48,22.11,4622,11.55,5,11,8.593,1796,1.268
10,0,125,250,udp,10ms,2,handel,372,100ms,500,1,39,134,99.9,2.91E+04,28.35,9176,3.13E+04,2.15E+04,6.25E+06,5835,103,216,148.7,4.33E+04,32.16,2.04E+04,4.82E+04,3.30E+04,9.61E+06,6611,0,0.03998,0.007312,2.128,0.008518,0.1157,0.3972,0.2961,86.17,0.03591,0.8057,0.9287,0.8386,244,0.02419,14,73,36.25,1.06E+04,17.76,4.115,8.385,5.168,1504,0.7843,0.2609,10.61,1.799,523.6,1.667,0,61,29.38,8551,14.98,5,64,26.86,7817,17.93,7,11,8.921,2596,0.7816
10,0,250,500,udp,10ms,3,handel,743,100ms,1000,1,55,215,123.9,8.36E+04,42.67,1.32E+04,4.95E+04,2.76E+04,1.86E+07,9305,94,251,171.8,1.16E+05,23.8,2.26E+04,5.82E+04,3.95E+04,2.67E+07,6030,0,0.0394,0.007722,5.212,0.007958,0.2651,0.6451,0.4547,306.9,0.05061,0.9066,1.091,0.976,658.8,0.03561,17,107,53.35,3.60E+04,22.33,4.126,9.194,5.697,3846,1.06,0.3623,14.29,2.833,1912,2.25,4,126,58.97,3.98E+04,16.95,8,97,42.19,2.85E+04,22.29,8,13,10.25,6920,0.8017
10,0,375,750,udp,10ms,4,handel,1114,100ms,1500,1,55,249,143.5,1.42E+05,43.55,1.31E+04,5.38E+04,3.11E+04,3.06E+07,8621,7,291,205.1,2.02E+05,34.68,1250,6.78E+04,4.65E+04,4.60E+07,6778,0,0.04561,0.008316,8.183,0.008934,0.1983,0.7136,0.4493,442.1,0.07866,0.3644,1.116,1,984.3,0.05594,16,108,51.13,5.01E+04,25.44,4.293,9.625,5.721,5618,0.9994,0.1667,139.6,2.952,2896,6.064,9,301,53.49,5.24E+04,22.45,5,96,39.07,3.84E+04,25.55,7,15,11.23,1.11E+04,1.334
10,0,500,1000,udp,10ms,5,handel,1485,100ms,2000,1,64,371,191.6,1.85E+05,81.8,1.53E+04,9.01E+04,4.17E+04,4.03E+07,1.66E+04,7,382,256.2,2.51E+05,62.34,1652,8.66E+04,5.87E+04,5.69E+07,1.17E+04,0,0.07601,0.01446,13.42,0.01338,0.2656,0.7657,0.5153,473,0.07428,0.3164,1.217,1.065,992.4,0.05245,13,121,57.89,5.29E+04,28.71,4.117,10.8,6.142,5608,1.386,0.2329,124.8,3.802,3456,5.646,10,367,64.94,5.90E+04,28.42,7,108,44.46,4.18E+04,29.81,5,16,12.49,1.18E+04,1.475
