NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,75,50ms,100,1,16,56,32.75,3275,9.311,3745,1.20E+04,7263,7.26E+05,1935,7,69,43.66,4366,11.99,1624,1.57E+04,9580,9.58E+05,2566,0,0.01336,0.003067,0.3067,0.003807,0.1051,0.2455,0.1801,18.01,0.03402,0.1457,0.3383,0.205,20.5,0.03731,7,24,17.27,1727,3.771,3.812,9.947,6.157,615.7,1.429,0.5714,23.24,4.131,413.1,3.74,0,50,9.82,982,10.7,3,16,9.73,973,3.152,4,8,6.83,683,0.7661
10,0,0,150,udp,10ms,1,handel,225,50ms,300,1,33,94,53.47,1.59E+04,11.45,6475,2.13E+04,1.17E+04,3.48E+06,2678,37,116,73,2.18E+04,12.97,8092,2.45E+04,1.60E+04,4.76E+06,3000,0,0.02823,0.003885,1.158,0.00598,0.1202,0.3154,0.2273,67.74,0.03612,0.1937,0.4187,0.2673,79.67,0.04059,7,31,20.85,6213,4.026,4.304,9.64,6.272,1869,1.244,0.2857,29.82,5.416,1614,4.84,0,66,16.02,4774,14,2,21,11.56,3444,3.383,5,11,8.503,2534,1.036
10,0,0,250,udp,10ms,2,handel,375,50ms,500,1,66,128,100,4.97E+04,10.99,1.31E+04,3.01E+04,2.10E+04,1.05E+07,3121,57,162,114.2,5.68E+04,17.09,1.19E+04,3.62E+04,2.41E+04,1.20E+07,3869,0,0.03673,0.006044,3.004,0.007535,0.1832,0.4606,0.3017,149.9,0.04851,0.363,0.5783,0.4341,215.8,0.02992,16,41,25.6,1.27E+04,5.336,4.176,10.2,6.298,3130,1.35,0.3684,33.45,5.098,2534,5.186,0,118,28.22,1.40E+04,21.45,6,29,14.22,7069,4.548,7,16,10.65,5281,1.463
10,0,0,500,udp,10ms,3,handel,750,50ms,1000,1,83,147,116.5,1.04E+05,11.98,1.58E+04,3.56E+04,2.54E+04,2.27E+07,3136,70,204,135.7,1.24E+05,21.04,1.35E+04,4.73E+04,2.99E+04,2.67E+07,5282,0,0.04372,0.005736,4.865,0.007958,0.2512,0.5514,0.402,346.2,0.05254,0.447,0.674,0.5178,451,0.04069,16,52,34.42,2.93E+04,6.815,4.263,11.25,6.814,5860,1.478,0.4091,29.53,4.836,4130,4.012,1,112,35.42,2.97E+04,20.4,5,36,20.4,1.80E+04,5.712,9,21,13.16,1.17E+04,2.143
10,0,0,750,udp,10ms,4,handel,1125,50ms,1500,1,86,202,132.8,1.66E+05,18.2,1.77E+04,4.41E+04,2.96E+04,3.62E+07,4296,80,261,155.5,1.94E+05,27.63,1.58E+04,5.84E+04,3.49E+04,4.32E+07,6452,0,0.04988,0.006232,7.46,0.009951,0.2157,0.6579,0.4163,499.6,0.06658,0.4046,0.8067,0.5388,648.2,0.04833,18,54,34.63,4.10E+04,6.99,4.308,11.46,7.322,8633,1.6,0.3571,42.86,6.034,7168,5.212,0,189,35.33,4.15E+04,27.18,6,35,18.96,2.30E+04,5.404,9,23,14.81,1.80E+04,2.292
10,0,0,1000,udp,10ms,5,handel,1500,50ms,2000,1,85,205,141.7,1.62E+05,18.58,2.00E+04,4.77E+04,3.28E+04,3.77E+07,4567,81,251,167.1,1.98E+05,30.99,1.73E+04,5.96E+04,3.96E+04,4.60E+07,7798,0,0.04854,0.005555,6.06,0.008372,0.3075,0.7033,0.4976,514,0.05725,0.4965,0.802,0.6044,650.9,0.04756,22,58,41.47,4.31E+04,6.007,4.417,12.27,8.191,8461,1.55,0.5357,37.96,8.07,8385,5.608,2,169,46.57,4.81E+04,23.96,9,41,23,2.52E+04,4.829,10,27,17.5,1.97E+04,2.65
10,0,0,1250,udp,10ms,6,handel,1875,50ms,2500,1,92,206,144,2.30E+05,18.26,2.08E+04,5.72E+04,3.35E+04,5.33E+07,4387,81,269,168.3,2.74E+05,30.96,1.71E+04,6.80E+04,4.04E+04,6.39E+07,8270,0,0.07494,0.006285,9.252,0.01092,0.2796,0.6664,0.504,741.4,0.05986,0.4919,0.7627,0.6165,942.1,0.04693,21,63,41.37,5.95E+04,6.164,4.517,12.31,8.265,1.19E+04,1.57,0.3478,35.55,8.038,1.19E+04,5.246,0,148,43.24,6.23E+04,22.79,7,36,22.43,3.50E+04,4.721,8,31,17.96,2.76E+04,2.979
10,0,0,1500,udp,10ms,7,handel,2250,50ms,3000,1,103,230,150.3,1.93E+05,18.63,2.39E+04,5.47E+04,3.58E+04,4.62E+07,4742,95,263,173.7,2.32E+05,24.79,2.11E+04,6.62E+04,4.30E+04,5.50E+07,6969,0,0.08458,0.005632,6.764,0.01085,0.2926,1.063,0.5485,651.1,0.06293,0.535,1.157,0.655,789.3,0.0544,26,78,44.79,5.32E+04,5.866,4.919,12.91,9.012,1.03E+04,1.47,1.038,47.09,10,1.15E+04,5.969,9,156,54.79,6.26E+04,21.69,10,58,24.11,2.92E+04,4.782,13,32,19.54,2.44E+04,2.933
10,0,0,2000,udp,10ms,0,handel,3000,50ms,4000,1,36,222,160,4.11E+05,16.49,1.26E+04,5.53E+04,4.01E+04,1.02E+08,4741,7,254,183.5,4.80E+05,26.9,1638,6.51E+04,4.75E+04,1.19E+08,7123,0,0.06718,0.005894,13.79,0.01169,0.1936,0.7931,0.6145,1427,0.05381,0.1938,0.9021,0.7093,1697,0.05614,13,69,49.46,1.15E+05,5.002,6.386,14.33,10.12,2.31E+04,1.228,3.415,153.6,15.58,3.51E+04,6.857,15,157,68.74,1.54E+05,20.83,7,44,24.84,5.87E+04,4.174,5,34,23.65,5.69E+04,3.168
