NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,50,udp,100ms,0,handel,75,50ms,100,1,17,53,34.01,2551,7.522,3844,1.12E+04,7581,5.69E+05,1465,28,75,50.48,3786,9.453,6580,1.65E+04,1.14E+04,8.57E+05,2222,0,0.01675,0.004453,0.334,0.003848,0.1084,0.4788,0.2829,21.22,0.1037,0.3172,1.095,0.5129,38.47,0.1693,19,48,31.72,2379,6.773,4.079,8.879,5.578,418.3,1.107,0.2105,6.132,1.978,148.3,1.155,2,36,11.92,894,6.627,12,37,20.75,1556,5.838,6,16,10.39,779,2.059
10,0,75,150,udp,100ms,1,handel,223,50ms,300,1,21,90,46.17,9234,11.75,4968,1.88E+04,1.03E+04,2.06E+06,2373,38,113,66.67,1.33E+04,12.72,8668,2.61E+04,1.51E+04,3.01E+06,2871,0,0.02917,0.005301,1.06,0.005567,0.1277,0.467,0.2867,57.33,0.06845,0.3698,0.6524,0.4853,97.06,0.06214,15,61,32.84,6569,8.419,4.167,8.448,5.388,1078,0.842,0.2632,8.103,2.125,425,1.538,2,47,17.2,3440,8.097,6,45,20.93,4185,7.66,6,18,11.23,2247,2.23
10,0,125,250,udp,100ms,2,handel,372,50ms,500,1,22,78,51.36,1.60E+04,14.14,5078,1.82E+04,1.15E+04,3.58E+06,2827,58,99,75.96,2.37E+04,5.619,1.22E+04,2.20E+04,1.74E+04,5.42E+06,1334,0,0.0294,0.005139,1.603,0.005785,0.1482,0.4707,0.2746,85.68,0.04878,0.4086,0.603,0.5035,157.1,0.03952,18,67,33.9,1.06E+04,10.17,4.109,9.158,5.194,1621,0.7536,0.3125,18.58,2.01,627,1.968,1,52,16.85,5256,7.714,8,45,21.13,6591,8.883,7,16,11.04,3445,1.462
10,0,250,500,udp,100ms,3,handel,743,50ms,1000,1,27,107,72.48,4.28E+04,19.27,6474,2.48E+04,1.66E+04,9.79E+06,3884,35,145,97.72,5.78E+04,12.5,6116,3.42E+04,2.28E+04,1.35E+07,2557,0,0.03593,0.006473,3.819,0.005831,0.1839,0.603,0.3935,232.6,0.07423,0.312,0.7368,0.5944,350.7,0.04985,21,96,46.09,2.72E+04,14.77,4.175,11.25,5.879,3469,1.162,0.36,36.68,3.148,1858,3.191,2,97,25.53,1.51E+04,12.31,9,62,29.29,1.73E+04,11.48,9,22,14.56,8603,2.039
10,0,375,750,udp,100ms,4,handel,1114,50ms,1500,1,26,132,79.43,7.09E+04,21.63,6620,3.05E+04,1.87E+04,1.67E+07,4740,25,166,110.4,9.85E+04,16.09,4694,4.07E+04,2.66E+04,2.37E+07,3293,0,0.03843,0.006767,6.029,0.006433,0.2357,0.6648,0.4493,399.9,0.07917,0.273,0.7855,0.6347,565.5,0.0492,24,106,52.04,4.63E+04,16.51,4.127,10.32,6.241,5561,1.305,0.2692,37.48,3.895,3467,2.937,4,83,34.04,3.03E+04,12.12,10,67,33.44,2.98E+04,12.62,9,24,15.41,1.38E+04,2.129
10,0,500,1000,udp,100ms,5,handel,1485,50ms,2000,1,34,153,88.68,9.39E+04,27.38,8413,3.63E+04,2.14E+04,2.26E+07,5877,36,184,121,1.31E+05,21.47,6151,4.39E+04,2.98E+04,3.15E+07,4697,0,0.05197,0.007779,7.911,0.007114,0.2521,0.7796,0.498,498.5,0.09082,0.3123,0.9105,0.6827,698.4,0.06188,26,113,57.57,5.69E+04,17.65,4.301,11.15,6.729,6669,1.665,0.2963,75.32,5.404,5345,5.299,8,140,42.02,4.15E+04,16.37,11,79,37.2,3.81E+04,14.44,11,28,17.9,1.86E+04,2.578
