NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,100,udp,50ms,0,handel,66,50ms,100,1,8,43,27.72,2079,8.556,1672,9429,5858,4.39E+05,1772,15,71,48.08,3606,9.526,3242,1.51E+04,1.05E+04,7.84E+05,2057,0,0.01752,0.003791,0.2843,0.004527,0.03397,0.1424,0.07938,5.954,0.02152,0.1318,0.3971,0.3107,23.3,0.06631,6,28,14.29,1072,4.023,4.071,5.176,4.831,362.3,0.2713,0.3333,7.643,1.322,99.14,1.39,0,30,3.413,256,5.716,2,19,6.693,502,2.968,4,11,7.387,554,1.413
10,0,75,300,udp,50ms,1,handel,198,50ms,300,1,35,89,54.07,1.03E+04,11.14,7700,2.06E+04,1.16E+04,2.21E+06,2662,42,104,74.55,1.42E+04,13.25,9210,2.32E+04,1.62E+04,3.08E+06,2851,0,0.03079,0.004331,0.8229,0.004856,0.04965,0.2017,0.1159,22.03,0.02865,0.3559,0.5039,0.421,80,0.03437,8,40,20.41,3878,5.525,4.182,5.389,4.841,919.8,0.2094,0.25,13.36,1.639,311.3,1.761,0,58,12.57,2388,8.644,2,27,10.25,1948,4.448,5,13,9.742,1851,1.578
10,0,125,500,udp,50ms,2,handel,330,50ms,500,1,4,99,69.93,2.55E+04,14.68,907,2.28E+04,1.49E+04,5.44E+06,3161,3,125,84.28,3.08E+04,17.32,708,2.72E+04,1.83E+04,6.70E+06,3757,0,0.03228,0.004148,1.514,0.004884,0.03107,0.1931,0.1194,43.58,0.02327,0.11,0.5012,0.4213,153.8,0.0565,7,35,20.47,7472,4.379,4.174,5.444,4.95,1807,0.238,0.3478,92.2,2.471,901.7,5.161,0,104,12.25,4471,11.57,2,23,10.41,3798,3.451,3,14,9.751,3559,1.46
10,0,250,1000,udp,50ms,3,handel,660,50ms,1000,1,11,118,87.76,5.96E+04,11.74,2572,2.71E+04,1.88E+04,1.27E+07,2770,75,146,106.8,7.23E+04,11.62,1.47E+04,3.36E+04,2.36E+04,1.60E+07,2858,0,0.02711,0.005206,3.493,0.005306,0.07396,0.2892,0.1527,102.9,0.03583,0.4255,0.5979,0.5032,340.2,0.03566,13,52,25.9,1.74E+04,6.829,4.158,5.423,4.904,3271,0.2227,0.2632,17.28,1.778,1187,1.669,0,78,19.01,1.28E+04,11.06,4,35,13.23,8919,5.825,4,19,11.8,7966,1.93
10,0,375,1500,udp,50ms,4,handel,990,50ms,1500,1,30,139,98.05,6.48E+04,13.93,7637,3.12E+04,2.13E+04,1.40E+07,3071,77,193,119.2,8.20E+04,19.24,1.61E+04,4.44E+04,2.70E+04,1.79E+07,4794,0,0.03591,0.004485,2.911,0.005169,0.06666,0.4528,0.1944,122.9,0.0475,0.414,0.7268,0.55,352,0.04049,10,63,32.69,2.00E+04,8.579,4.242,12.97,5.031,3074,0.377,0.225,27,1.335,817.1,1.591,0,107,19.88,1.22E+04,14.02,4,49,18.5,1.17E+04,8.071,5,24,13.2,8499,2.876
10,0,500,2000,udp,50ms,5,handel,1320,50ms,2000,1,23,143,104.5,1.22E+05,12.86,5801,3.05E+04,2.30E+04,2.69E+07,2893,15,187,126.4,1.52E+05,18.82,3540,4.45E+04,2.92E+04,3.44E+07,4866,0,0.03704,0.004672,5.219,0.005316,0.08852,0.349,0.2173,239.3,0.04412,0.1507,0.7617,0.548,624.8,0.04405,16,61,36.68,4.00E+04,8.135,4.208,5.483,5.041,5479,0.1933,0.2424,133,1.404,1531,4.125,0,144,21.32,2.30E+04,14.13,5,46,21.25,2.44E+04,7.867,7,24,14.76,1.70E+04,2.813
10,0,750,2000,udp,50ms,6,handel,1980,50ms,3000,1,26,179,99.54,1.70E+05,33.34,7621,4.31E+04,2.40E+04,4.08E+07,7516,15,228,141.6,2.48E+05,25.67,2602,5.85E+04,3.63E+04,6.19E+07,6872,0,0.04974,0.007015,11.31,0.006683,0.1906,0.8446,0.4264,689.5,0.1004,0.1919,0.9971,0.6345,1046,0.0682,31,125,62.64,1.00E+05,14.05,4.102,12.61,6.079,9733,1.835,0.2712,116.7,3.757,6031,5.021,7,136,40.8,6.50E+04,14.47,16,98,41.5,6.80E+04,13.14,11,34,19.52,3.19E+04,3.52
10,0,1000,2000,udp,50ms,7,handel,2640,50ms,4000,1,44,176,108.3,1.72E+05,32.5,1.14E+04,4.39E+04,2.72E+04,4.22E+07,7484,106,230,151.9,2.47E+05,21.09,2.26E+04,6.03E+04,4.04E+04,6.29E+07,5517,0,0.05406,0.009185,13.43,0.007923,0.3259,0.9119,0.5605,804.4,0.0939,0.5734,1.059,0.7123,1040,0.06646,29,130,61.23,8.70E+04,17.74,4.397,12.65,7.733,1.06E+04,2.102,0.4146,64.24,7.835,1.13E+04,5.717,11,135,46.96,6.59E+04,17.48,12,99,36.98,5.54E+04,14.37,13,38,21.68,3.23E+04,4.251
