NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,50,udp,50ms,0,handel,75,50ms,100,1,18,57,33.88,2541,6.83,4078,1.08E+04,7657,5.74E+05,1319,31,76,52.55,3941,8.623,5811,1.78E+04,1.20E+04,8.99E+05,2160,0,0.01673,0.00403,0.3022,0.00434,0.1025,0.5064,0.2703,20.27,0.09661,0.3146,0.6868,0.4563,34.22,0.07309,21,49,31.07,2330,7.049,4,9.087,5.309,398.1,1.044,0.3448,10.88,2.402,180.1,2.018,4,41,12.83,962,7.491,9,37,20.47,1535,6.285,7,13,9.947,746,1.659
10,0,75,150,udp,50ms,1,handel,223,50ms,300,1,18,88,51.52,1.03E+04,13.51,4254,1.86E+04,1.14E+04,2.27E+06,2610,43,120,75.36,1.50E+04,13.76,9781,2.70E+04,1.70E+04,3.38E+06,3207,0,0.02463,0.005341,1.063,0.00529,0.1181,0.4768,0.3104,61.78,0.07712,0.3631,0.6654,0.5037,100.2,0.06471,12,76,35.76,7117,10.12,4.062,8.775,5.477,1090,0.8397,0.3158,12.9,2.122,422.3,1.504,1,53,21.67,4312,9.618,6,62,23.84,4745,9.377,6,18,11.22,2232,1.977
10,0,125,250,udp,50ms,2,handel,372,50ms,500,1,25,85,58.02,1.75E+04,15.59,5891,1.84E+04,1.30E+04,3.92E+06,3080,62,110,85.99,2.60E+04,6.03,1.40E+04,2.32E+04,1.96E+04,5.93E+06,1289,0,0.02471,0.00537,1.622,0.005481,0.1456,0.437,0.2971,89.71,0.05702,0.4098,0.6308,0.512,154.6,0.04199,21,62,36.13,1.09E+04,9.298,4.115,9,5.489,1658,1.001,0.25,12.64,2.368,715.2,2.116,0,65,22.37,6757,11.82,8,49,24.18,7303,9.898,8,16,11.26,3402,1.6
10,0,250,500,udp,50ms,3,handel,743,50ms,1000,1,32,118,75.03,4.70E+04,19.09,7785,2.63E+04,1.72E+04,1.08E+07,3868,82,170,108.5,6.81E+04,13.31,1.83E+04,3.28E+04,2.54E+04,1.59E+07,2434,0,0.04461,0.006843,4.291,0.006683,0.2111,0.5674,0.3991,250.3,0.06667,0.4873,0.7351,0.6036,378.5,0.04834,21,88,47.75,2.99E+04,14.63,4.158,9.162,6.019,3774,1.253,0.3226,13.19,3.391,2126,2.555,7,77,36.67,2.30E+04,11.93,9,71,33.53,2.10E+04,14.19,9,20,13.15,8244,1.869
10,0,375,750,udp,50ms,4,handel,1114,50ms,1500,1,30,126,77.63,7.44E+04,21.51,7248,2.93E+04,1.78E+04,1.70E+07,4377,72,149,112.3,1.07E+05,10.1,1.57E+04,3.52E+04,2.68E+04,2.56E+07,2791,0,0.04094,0.007193,6.863,0.006806,0.155,0.6603,0.3928,375.1,0.07046,0.3931,0.7376,0.5927,566,0.05436,20,119,47.89,4.57E+04,19.66,4.333,10.32,5.777,5517,1.112,0.2826,47,3.744,3572,3.638,4,126,31.54,3.01E+04,14.52,7,65,29.97,2.87E+04,13.6,9,18,13.04,1.25E+04,1.814
10,0,500,1000,udp,50ms,5,handel,1485,50ms,2000,1,38,160,90.63,1.05E+05,23.48,9575,3.63E+04,2.15E+04,2.46E+07,4935,68,183,124.9,1.47E+05,9.958,1.44E+04,4.13E+04,3.08E+04,3.59E+07,2680,0,0.0342,0.007442,7.837,0.006337,0.276,0.7299,0.488,514.3,0.08124,0.4537,0.8857,0.675,730.4,0.06332,28,122,56.75,5.65E+04,19.59,4.233,10.37,6.7,6633,1.529,0.3243,42.44,4.47,4568,3.301,6,113,46.35,4.66E+04,16.16,13,90,39.16,4.30E+04,16.4,10,22,14.4,1.58E+04,1.771
