NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,25,50,udp,20ms,0,handel,75,50ms,100,1,18,65,37.97,2848,8.733,4212,1.23E+04,8534,6.40E+05,1598,33,84,59.4,4455,8.713,6549,1.97E+04,1.35E+04,1.01E+06,2198,0,0.0132,0.003933,0.295,0.004489,0.115,0.499,0.272,20.4,0.08975,0.3264,0.6149,0.4427,33.2,0.05896,21,51,31.16,2337,6.838,4.095,7.679,5.441,408.1,1.017,0.4167,8.043,2.705,202.8,1.916,4,54,15.89,1192,9.49,13,40,20.37,1528,5.966,7,14,10.05,754,1.822
10,0,75,150,udp,20ms,1,handel,223,50ms,300,1,21,85,57.81,1.18E+04,13.07,4907,1.92E+04,1.29E+04,2.62E+06,2590,55,126,89.58,1.83E+04,16.38,1.20E+04,2.81E+04,2.03E+04,4.13E+06,3806,0,0.03002,0.005881,1.2,0.00542,0.1336,0.4667,0.3127,63.79,0.07309,0.3784,0.6205,0.5031,102.6,0.0566,16,80,37,7549,11.77,4.074,7.946,5.374,1096,0.8879,0.3,9.636,2.616,533.7,1.622,7,52,24.9,5079,9.332,7,66,24.89,5077,11.23,6,17,11.32,2310,2.109
10,0,125,250,udp,20ms,2,handel,372,50ms,500,1,27,103,68.8,2.11E+04,19.64,6355,2.20E+04,1.52E+04,4.66E+06,3822,64,134,105.6,3.24E+04,11.75,1.45E+04,2.98E+04,2.38E+04,7.32E+06,2477,0,0.02667,0.006243,1.917,0.005913,0.1331,0.4311,0.3087,94.76,0.0515,0.4024,0.619,0.5083,156.1,0.0435,21,73,37.75,1.16E+04,11.22,4.13,9.32,5.535,1699,1.078,0.2857,13.44,2.531,777,2.2,2,63,25.77,7910,10.84,9,63,25.87,7942,11.94,7,17,11.15,3422,1.792
10,0,250,500,udp,20ms,3,handel,743,50ms,1000,1,40,140,91.95,6.05E+04,25.8,9577,3.32E+04,2.07E+04,1.36E+07,5119,82,179,132.2,8.70E+04,14.03,1.96E+04,4.20E+04,3.07E+04,2.02E+07,3370,0,0.03562,0.006468,4.256,0.006844,0.2248,0.6025,0.4074,268.1,0.06162,0.481,0.7321,0.593,390.2,0.04712,23,102,48.24,3.17E+04,16.14,4.17,10.09,6.157,4051,1.386,0.4182,18.82,3.89,2560,2.883,5,103,41.17,2.71E+04,15.29,9,85,34.25,2.25E+04,16.75,8,18,13.04,8578,1.836
10,0,375,750,udp,20ms,4,handel,1114,50ms,1500,1,50,155,100.2,1.04E+05,22.17,1.21E+04,3.97E+04,2.35E+04,2.44E+07,4863,97,219,143.5,1.49E+05,16.91,2.20E+04,5.48E+04,3.46E+04,3.60E+07,5147,0,0.03709,0.007431,7.728,0.006789,0.2872,0.6158,0.4569,474.8,0.06109,0.4965,0.7948,0.6408,666.4,0.05024,27,99,53.05,5.51E+04,17.49,4.174,10.29,6.716,6978,1.57,0.3333,24.54,5.813,6028,3.89,10,111,50.55,5.25E+04,15.75,13,83,38.42,4.00E+04,17.58,9,23,13.63,1.42E+04,1.569
10,0,500,1000,udp,20ms,5,handel,1485,50ms,2000,1,45,176,112.6,1.39E+05,33.6,1.09E+04,4.33E+04,2.60E+04,3.16E+07,6855,96,217,157.6,1.97E+05,17.42,2.36E+04,5.45E+04,3.80E+04,4.71E+07,4405,0,0.03846,0.007774,9.243,0.007706,0.2933,0.6896,0.4777,558.4,0.07365,0.5108,0.8138,0.6571,785.9,0.05829,20,116,55.05,6.35E+04,19.11,4.273,10.31,6.618,7578,1.527,0.3571,39.78,4.622,5357,3.452,2,130,51.08,5.89E+04,17.92,7,95,39.81,4.73E+04,19.2,8,22,13.98,1.68E+04,1.861
